Src	L_bol	L_bol_upl	L_bol_lol	M_env	M_env_upl	M_env_lol	R_out	R_out_upl	R_out_lol	p_rho	p_rho_upl	p_rho_lol	n_1000AU	n_1000AU_upl	n_1000AU_lol	n_10K	T_dust	ms	clr
W51N-e1	100000	100000	50000	4530	4530	2265	140000	140000	70000	1.4	0.1	0.1	3.21E+07	1.72E+07	2.08E+07	...	...	+50	tab:red
#NGC7538-IRS1	130000	130000	65000	433	433	216.5	64000	64000	32000	1	0.1	0.1	2.54E+06	1.12E+06	1.76E+06	...	...	+50	tab:red
C01S-1	28.2	11.28	4.512	45.7	4.2	4.2	25227	50454	25227	1.4	0.4	0.4	5.02E+06	1.73E+07	2.26E+06	...	12.1	,1	tab:olive
C03-1	1954	781.6	312.64	174	59.4	59.4	34161	68323	34161	1.4	0.4	0.4	1.18E+07	4.73E+07	4.84E+06	...	19.7	,1	tab:olive
C03S-1	502	200.8	80.32	36.3	11.5	11.5	26278	52556	26278	1.4	0.4	0.4	3.74E+06	1.32E+07	1.66E+06	...	20.4	,1	tab:olive
C05-1	156	62.4	24.96	89	3.7	3.7	62279	124558	62279	1.4	0.4	0.4	2.30E+06	1.25E+07	7.92E+05	...	14.4	,1	tab:olive
C05-2	56.8	22.72	9.088	40.6	11.8	11.8	24439	48877	24439	1.4	0.4	0.4	4.69E+06	1.60E+07	2.14E+06	...	13.9	,1	tab:olive
C08-2	464	185.6	74.24	49.6	23.2	23.2	48089	96178	48089	1.4	0.4	0.4	1.94E+06	9.25E+06	7.21E+05	...	19.1	,1	tab:olive
C08-3	564	225.6	90.24	42.9	16.6	16.6	55972	111944	55972	1.4	0.4	0.4	1.32E+06	6.77E+06	4.67E+05	...	20.2	,1	tab:olive
C09-1	712	284.8	113.92	125	41.5	41.5	36526	73053	36526	1.4	0.4	0.4	7.59E+06	3.16E+07	3.06E+06	...	17.6	,1	tab:olive
C09-2	11.58	4.632	1.8528	36.9	7.5	7.5	48089	96178	48089	1.4	0.4	0.4	1.44E+06	6.88E+06	5.36E+05	...	10.8	,1	tab:olive
DR15-1	45	18	7.2	153	28.4	28.4	27592	55184	27592	1.4	0.4	0.4	1.46E+07	5.26E+07	6.39E+06	...	10.7	,1	tab:olive
DR15-2	318	127.2	50.88	114	3.2	3.2	37578	75155	37578	1.4	0.4	0.4	6.62E+06	2.79E+07	2.65E+06	...	15.6	,1	tab:olive
DR15-3	61	24.4	9.76	55.7	7.1	7.1	44147	88294	44147	1.4	0.4	0.4	2.50E+06	1.14E+07	9.53E+05	...	13.4	,1	tab:olive
DR15-4	2604	1041.6	416.64	51	6	6	42308	84615	42308	1.4	0.4	0.4	2.45E+06	1.10E+07	9.46E+05	...	25.3	,1	tab:olive
DR15-5	27.6	11.04	4.416	41.5	7.8	7.8	27855	55709	27855	1.4	0.4	0.4	3.89E+06	1.41E+07	1.70E+06	...	12.3	,1	tab:olive
DR15-6	112.2	44.88	17.952	40.7	7.4	7.4	45987	91973	45987	1.4	0.4	0.4	1.71E+06	7.98E+06	6.44E+05	...	15.6	,1	tab:olive
DR15E1-1	802	320.8	128.32	598	74.7	74.7	33636	67272	33636	1.4	0.4	0.4	4.15E+07	1.65E+08	1.71E+07	...	13.8	,1	tab:olive
DR15E1-2	37.6	15.04	6.016	77.3	15.6	15.6	34161	68323	34161	1.4	0.4	0.4	5.23E+06	2.10E+07	2.15E+06	...	11.7	,1	tab:olive
DR15E1-3	32.4	12.96	5.184	77	8.2	8.2	47038	94075	47038	1.4	0.4	0.4	3.12E+06	1.47E+07	1.17E+06	...	11.4	,1	tab:olive
DR15E2-1	1208	483.2	193.28	117	30.8	30.8	27592	55184	27592	1.4	0.4	0.4	1.11E+07	4.02E+07	4.89E+06	...	19.4	,1	tab:olive
DR15E2-2	72	28.8	11.52	79	26.3	26.3	28380	56761	28380	1.4	0.4	0.4	7.19E+06	2.63E+07	3.13E+06	...	13	,1	tab:olive
DR15E2-4	2312	924.8	369.92	46.5	2.6	2.6	43622	87243	43622	1.4	0.4	0.4	2.13E+06	9.66E+06	8.14E+05	...	25.2	,1	tab:olive
DR21-1_N46	20190	8076	3230.4	1355	130	130	55972	111944	55972	1.4	0.4	0.4	4.16E+07	2.14E+08	1.48E+07	...	20.6	,1	tab:olive
DR21-2_N44	17200	6880	2752	1048	225	225	41782	83564	41782	1.4	0.4	0.4	5.13E+07	2.28E+08	1.99E+07	...	21	,1	tab:olive
#DR21-3_N48	6706	2682.4	1072.96	261	48	48	51768	103535	51768	1.4	0.4	0.4	9.08E+06	4.49E+07	3.30E+06	...	22.6	,1	tab:olive
#DR21-4_N51	1706	682.4	272.96	153	9.4	9.4	30483	60965	30483	1.4	0.4	0.4	1.24E+07	4.71E+07	5.29E+06	...	19.7	,1	tab:olive
DR21-5	702	280.8	112.32	125	21	21	63593	127186	63593	1.4	0.4	0.4	3.13E+06	1.71E+07	1.07E+06	...	17.5	,1	tab:olive
#DR21-7_N53	534	213.6	85.44	115	11.5	11.5	26278	52556	26278	1.4	0.4	0.4	1.18E+07	4.17E+07	5.27E+06	...	17	,1	tab:olive
DR21-8_N40	1344	537.6	215.04	114	36.1	36.1	47563	95126	47563	1.4	0.4	0.4	4.54E+06	2.15E+07	1.69E+06	...	19.8	,1	tab:olive
DR21-9_N56	179.4	71.76	28.704	94.9	19	19	26541	53082	26541	1.4	0.4	0.4	9.61E+06	3.41E+07	4.27E+06	...	14.6	,1	tab:olive
DR21-10	21.2	8.48	3.392	94.1	16.3	16.3	27329	54658	27329	1.4	0.4	0.4	9.09E+06	3.27E+07	4.00E+06	...	10.3	,1	tab:olive
DR21-13_N38	1286	514.4	205.76	85.3	68.3	68.3	26541	53082	26541	1.4	0.4	0.4	8.64E+06	3.06E+07	3.84E+06	...	20.7	,1	gold
DR21-16	159.8	63.92	25.568	50.6	21	21	47300	94601	47300	1.4	0.4	0.4	2.03E+06	9.61E+06	7.59E+05	...	15.9	,1	tab:olive
DR21-17	696	278.4	111.36	47.6	8.6	8.6	58600	117200	58600	1.4	0.4	0.4	1.36E+06	7.15E+06	4.75E+05	...	20.6	,1	tab:olive
DR21-19	137.2	54.88	21.952	39.6	6.2	6.2	49665	99331	49665	1.4	0.4	0.4	1.47E+06	7.13E+06	5.41E+05	...	16.2	,1	tab:olive
DR21-20	71.8	28.72	11.488	37.9	11.6	11.6	38366	76732	38366	1.4	0.4	0.4	2.13E+06	9.07E+06	8.46E+05	...	14.6	,1	tab:olive
DR21-21_N52	129.6	51.84	20.736	37.2	9	9	51242	102484	51242	1.4	0.4	0.4	1.31E+06	6.47E+06	4.79E+05	...	16.2	,1	tab:olive
DR21-22	222	88.8	35.52	36.5	8.2	8.2	57812	115623	57812	1.4	0.4	0.4	1.06E+06	5.56E+06	3.74E+05	...	17.8	,1	tab:olive
DR21-23_N43	11730	4692	1876.8	35.1	8.5	8.5	35738	71476	35738	1.4	0.4	0.4	2.21E+06	9.08E+06	8.97E+05	...	34.7	,1	tab:olive
N03-1	794	317.6	127.04	455	93.9	93.9	37315	74630	37315	1.4	0.4	0.4	2.67E+07	1.12E+08	1.07E+07	...	14.4	,1	tab:olive
N05-1_N10	3238	1295.2	518.08	338	97.6	97.6	32059	64118	32059	1.4	0.4	0.4	2.53E+07	9.85E+07	1.06E+07	...	19.2	,1	tab:olive
N05-2_N06	38.8	15.52	6.208	162	106	106	28380	56761	28380	1.4	0.4	0.4	1.47E+07	5.40E+07	6.41E+06	...	10.4	,1	tab:olive
N05-3_N14	2372	948.8	379.52	162	19.5	19.5	28906	57812	28906	1.4	0.4	0.4	1.43E+07	5.29E+07	6.19E+06	...	20.6	,1	tab:olive
N05-4	53.6	21.44	8.576	56.1	7.5	7.5	48877	97754	48877	1.4	0.4	0.4	2.14E+06	1.03E+07	7.91E+05	...	13.1	,1	tab:olive
N05-5	55	22	8.8	44.7	5.6	5.6	38103	76206	38103	1.4	0.4	0.4	2.54E+06	1.08E+07	1.01E+06	...	13.6	,1	tab:olive
N05-6	102	40.8	16.32	41.8	6.3	6.3	34161	68323	34161	1.4	0.4	0.4	2.83E+06	1.14E+07	1.16E+06	...	15.3	,1	tab:olive
N07-1	47	18.8	7.52	83.9	20.1	20.1	55972	111944	55972	1.4	0.4	0.4	2.57E+06	1.32E+07	9.14E+05	...	11.9	,1	tab:olive
N07-2	12.98	5.192	2.0768	37.6	8.3	8.3	29431	58863	29431	1.4	0.4	0.4	3.23E+06	1.20E+07	1.39E+06	...	11	,1	tab:olive
N08-1	134.4	53.76	21.504	85.7	9.7	9.7	34950	69900	34950	1.4	0.4	0.4	5.59E+06	2.27E+07	2.28E+06	...	14.2	,1	tab:olive
N08-2	11.42	4.568	1.8272	37	7.3	7.3	27066	54133	27066	1.4	0.4	0.4	3.63E+06	1.30E+07	1.60E+06	...	10.8	,1	tab:olive
N12-1	1318	527.2	210.88	415	78	78	27592	55184	27592	1.4	0.4	0.4	3.95E+07	1.43E+08	1.73E+07	...	15.9	,1	tab:olive
N12-2	107.2	42.88	17.152	64.3	8.6	8.6	27855	55709	27855	1.4	0.4	0.4	6.03E+06	2.19E+07	2.64E+06	...	14.3	,1	tab:olive
N12-3	388	155.2	62.08	53.5	7.8	7.8	47563	95126	47563	1.4	0.4	0.4	2.13E+06	1.01E+07	7.94E+05	...	18.3	,1	tab:olive
N12-4	15.64	6.256	2.5024	50.9	4.6	4.6	32059	64118	32059	1.4	0.4	0.4	3.81E+06	1.48E+07	1.60E+06	...	10.8	,1	tab:olive
N12-5	312	124.8	49.92	40.7	5	5	29957	59914	29957	1.4	0.4	0.4	3.40E+06	1.28E+07	1.45E+06	...	18.5	,1	tab:olive
N12-7	33	13.2	5.28	37.8	7.2	7.2	52819	105638	52819	1.4	0.4	0.4	1.27E+06	6.36E+06	4.60E+05	...	12.9	,1	tab:olive
N26-1	88.8	35.52	14.208	49.4	5.9	5.9	32322	64644	32322	1.4	0.4	0.4	3.65E+06	1.43E+07	1.53E+06	...	14.5	,1	tab:olive
N58-2	342	136.8	54.72	59.9	5.7	5.7	55447	110893	55447	1.4	0.4	0.4	1.87E+06	9.56E+06	6.64E+05	...	17.6	,1	tab:olive
N58-3_N60	282	112.8	45.12	57.1	6	6	48089	96178	48089	1.4	0.4	0.4	2.23E+06	1.07E+07	8.30E+05	...	17.2	,1	tab:olive
N58-4	15.92	6.368	2.5472	35.9	3.8	3.8	24964	49928	24964	1.4	0.4	0.4	4.01E+06	1.38E+07	1.81E+06	...	11.5	,1	tab:olive
N63-1	494	197.6	79.04	282	40.6	40.6	24176	48352	24176	1.4	0.4	0.4	3.32E+07	1.12E+08	1.51E+07	...	14.4	,1	tab:olive
N63-2	368	147.2	58.88	77.2	24	24	38891	77783	38891	1.4	0.4	0.4	4.24E+06	1.82E+07	1.68E+06	...	17.1	,1	tab:olive
N63-3	37.6	15.04	6.016	39	8.4	8.4	40468	80936	40468	1.4	0.4	0.4	2.01E+06	8.80E+06	7.87E+05	...	13.1	,1	tab:olive
N68-1	262	104.8	41.92	175	27.4	27.4	26804	53607	26804	1.4	0.4	0.4	1.74E+07	6.21E+07	7.72E+06	...	14.1	,1	tab:olive
N68-2_N65	474	189.6	75.84	102	16.6	16.6	32059	64118	32059	1.4	0.4	0.4	7.64E+06	2.97E+07	3.20E+06	...	17	,1	tab:olive
NW01-1	9774	3909.6	1563.84	72.3	18.3	18.3	37315	74630	37315	1.4	0.4	0.4	4.25E+06	1.78E+07	1.70E+06	...	29.8	,1	tab:olive
NW04-1_NW05	1526	610.4	244.16	330	12.2	12.2	34424	68848	34424	1.4	0.4	0.4	2.20E+07	8.89E+07	9.05E+06	...	17	,1	tab:olive
NW04-3	92.6	37.04	14.816	48.5	4.3	4.3	25490	50979	25490	1.4	0.4	0.4	5.24E+06	1.82E+07	2.36E+06	...	14.7	,1	tab:olive
NW04-5	59.2	23.68	9.472	36.1	4	4	26278	52556	26278	1.4	0.4	0.4	3.71E+06	1.31E+07	1.65E+06	...	14.3	,1	tab:olive
NW04E-1	226	90.4	36.16	619	35.2	35.2	39943	79885	39943	1.4	0.4	0.4	3.26E+07	1.42E+08	1.28E+07	...	11.1	,1	tab:olive
NW04E-2	1500	600	240	56.8	2.2	2.2	29694	59388	29694	1.4	0.4	0.4	4.81E+06	1.80E+07	2.06E+06	...	22.7	,1	tab:olive
NW12-1_NW14	1438	575.2	230.08	133	10.1	10.1	29694	59388	29694	1.4	0.4	0.4	1.13E+07	4.22E+07	4.83E+06	...	19.6	,1	tab:olive
S01-1	24.4	9.76	3.904	120	27	27	43359	86717	43359	1.4	0.4	0.4	5.54E+06	2.51E+07	2.12E+06	...	10.1	,1	tab:olive
S01-2	186	74.4	29.76	82.6	18	18	41519	83039	41519	1.4	0.4	0.4	4.09E+06	1.81E+07	1.59E+06	...	15.1	,1	tab:olive
S01-3	410	164	65.6	72	8	8	26804	53607	26804	1.4	0.4	0.4	7.18E+06	2.56E+07	3.18E+06	...	17.6	,1	tab:olive
S01-4	86.2	34.48	13.792	60.3	7.9	7.9	33636	67272	33636	1.4	0.4	0.4	4.18E+06	1.67E+07	1.73E+06	...	14	,1	tab:olive
S01-6	77.6	31.04	12.416	39.5	8.7	8.7	26804	53607	26804	1.4	0.4	0.4	3.94E+06	1.40E+07	1.74E+06	...	14.7	,1	tab:olive
S01S-1	89.6	35.84	14.336	96.7	10.9	10.9	27329	54658	27329	1.4	0.4	0.4	9.35E+06	3.36E+07	4.11E+06	...	13	,1	tab:olive
S01S-2	528	211.2	84.48	64.5	3	3	29431	58863	29431	1.4	0.4	0.4	5.54E+06	2.07E+07	2.38E+06	...	18.7	,1	tab:olive
S01S-3	348	139.2	55.68	54.9	9.7	9.7	76206	152413	76206	1.4	0.4	0.4	1.03E+06	6.17E+06	3.33E+05	...	17.9	,1	tab:olive
S01S-4	14.64	5.856	2.3424	36.9	3.3	3.3	37315	74630	37315	1.4	0.4	0.4	2.17E+06	9.10E+06	8.69E+05	...	11.3	,1	tab:olive
S11-1	150.4	60.16	24.064	81.4	21.2	21.2	38366	76732	38366	1.4	0.4	0.4	4.57E+06	1.95E+07	1.82E+06	...	14.6	,1	tab:olive
S11-2	40	16	6.4	74	13.6	13.6	30745	61491	30745	1.4	0.4	0.4	5.92E+06	2.26E+07	2.52E+06	...	11.9	,1	tab:olive
S13-1	260	104	41.6	58.7	3.1	3.1	38366	76732	38366	1.4	0.4	0.4	3.30E+06	1.40E+07	1.31E+06	...	16.9	,1	tab:olive
S13-2	76.2	30.48	12.192	55.1	3.7	3.7	34687	69374	34687	1.4	0.4	0.4	3.64E+06	1.47E+07	1.49E+06	...	13.9	,1	tab:olive
S13S-1	14.9	5.96	2.384	44.8	4.8	4.8	74367	148734	74367	1.4	0.4	0.4	8.73E+05	5.17E+06	2.84E+05	...	11	,1	tab:olive
S13S-2	185.8	74.32	29.728	42.8	10.1	10.1	30220	60439	30220	1.4	0.4	0.4	3.52E+06	1.33E+07	1.50E+06	...	16.8	,1	tab:olive
S13S-3	18.98	7.592	3.0368	38.7	7.8	7.8	24964	49928	24964	1.4	0.4	0.4	4.32E+06	1.49E+07	1.96E+06	...	11.7	,1	tab:olive
S13S-4	25.6	10.24	4.096	38.4	2.1	2.1	25227	50454	25227	1.4	0.4	0.4	4.22E+06	1.46E+07	1.90E+06	...	12.3	,1	tab:olive
S29-1	36.4	14.56	5.824	126	29.7	29.7	32848	65695	32848	1.4	0.4	0.4	9.07E+06	3.58E+07	3.78E+06	...	10.7	,1	tab:olive
S30-1	1372	548.8	219.52	1068	60.4	60.4	49665	99331	49665	1.4	0.4	0.4	3.97E+07	1.92E+08	1.46E+07	...	13.7	,1	tab:olive
S30-2	54	21.6	8.64	40.4	9.8	9.8	37052	74104	37052	1.4	0.4	0.4	2.40E+06	1.00E+07	9.64E+05	...	13.8	,1	tab:olive
S30-3	53.4	21.36	8.544	36.3	11.6	11.6	27066	54133	27066	1.4	0.4	0.4	3.56E+06	1.27E+07	1.57E+06	...	14	,1	tab:olive
S30S-1	67.2	26.88	10.752	57.7	8.1	8.1	24701	49403	24701	1.4	0.4	0.4	6.56E+06	2.24E+07	2.97E+06	...	13.5	,1	tab:olive
S32-1	292	116.8	46.72	101	12.9	12.9	41257	82513	41257	1.4	0.4	0.4	5.05E+06	2.23E+07	1.96E+06	...	15.7	,1	tab:olive
S32-2	22.2	8.88	3.552	66.3	11.7	11.7	34687	69374	34687	1.4	0.4	0.4	4.38E+06	1.77E+07	1.79E+06	...	11	,1	tab:olive
S32-3	135	54	21.6	47.6	4.8	4.8	27855	55709	27855	1.4	0.4	0.4	4.46E+06	1.62E+07	1.95E+06	...	15.7	,1	tab:olive
S32-4	34.2	13.68	5.472	36.7	7.9	7.9	27329	54658	27329	1.4	0.4	0.4	3.55E+06	1.28E+07	1.56E+06	...	13	,1	tab:olive
S43-2	113.4	45.36	18.144	84.5	7.2	7.2	41257	82513	41257	1.4	0.4	0.4	4.22E+06	1.87E+07	1.64E+06	...	13.8	,1	tab:olive
S106-2_S20	17942	7176.8	2870.72	70.5	32.4	32.4	56235	112470	56235	1.4	0.4	0.4	2.15E+06	1.11E+07	7.61E+05	...	33.1	,1	tab:olive
S106N-1	228	91.2	36.48	75.4	15.2	15.2	25490	50979	25490	1.4	0.4	0.4	8.15E+06	2.83E+07	3.66E+06	...	15.8	,1	tab:olive
S106W1-1	232	92.8	37.12	66.8	8.6	8.6	30220	60439	30220	1.4	0.4	0.4	5.50E+06	2.08E+07	2.35E+06	...	16.2	,1	tab:olive
S106W1-2	41.6	16.64	6.656	60.4	6.8	6.8	81199	162398	81199	1.4	0.4	0.4	1.02E+06	6.33E+06	3.25E+05	...	12.4	,1	tab:olive
S106W1-3	1916	766.4	306.56	51.9	2.8	2.8	52030	104061	52030	1.4	0.4	0.4	1.79E+06	8.88E+06	6.50E+05	...	24	,1	tab:olive
S106W1-4	158.2	63.28	25.312	49.1	3	3	50717	101433	50717	1.4	0.4	0.4	1.76E+06	8.64E+06	6.45E+05	...	16	,1	tab:olive
S106W1-5	324	129.6	51.84	43.7	3.9	3.9	43359	86717	43359	1.4	0.4	0.4	2.02E+06	9.14E+06	7.73E+05	...	18.4	,1	tab:olive
S106W1-6	29.8	11.92	4.768	39.6	9.1	9.1	50454	100908	50454	1.4	0.4	0.4	1.43E+06	7.01E+06	5.26E+05	...	12.6	,1	tab:olive
S106W1-7	176	70.4	28.16	38.5	5.8	5.8	32059	64118	32059	1.4	0.4	0.4	2.88E+06	1.12E+07	1.21E+06	...	17	,1	tab:olive
S106W2-1	5368	2147.2	858.88	805	47.9	47.9	31796	63593	31796	1.4	0.4	0.4	6.11E+07	2.37E+08	2.57E+07	...	18	,1	tab:olive
S106W2-2	1200	480	192	602	115	115	37578	75155	37578	1.4	0.4	0.4	3.50E+07	1.47E+08	1.40E+07	...	14.8	,1	tab:olive
S106W2-3	4594	1837.6	735.04	145	38.6	38.6	35213	70425	35213	1.4	0.4	0.4	9.34E+06	3.81E+07	3.81E+06	...	23.4	,1	tab:olive
S106W2-4	446	178.4	71.36	99.1	8.8	8.8	35213	70425	35213	1.4	0.4	0.4	6.38E+06	2.61E+07	2.60E+06	...	16.9	,1	tab:olive
S106W2-5	53.4	21.36	8.544	84.1	13.2	13.2	40468	80936	40468	1.4	0.4	0.4	4.34E+06	1.90E+07	1.70E+06	...	12.2	,1	tab:olive
S106W2-7	862	344.8	137.92	40.2	7.2	7.2	55972	111944	55972	1.4	0.4	0.4	1.23E+06	6.35E+06	4.38E+05	...	21.9	,1	tab:olive
S106W2-8	31.6	12.64	5.056	38.5	5.8	5.8	33899	67797	33899	1.4	0.4	0.4	2.64E+06	1.06E+07	1.09E+06	...	12.7	,1	tab:olive
W75N-3	130	52	20.8	138	13.6	13.6	55709	111419	55709	1.4	0.4	0.4	4.27E+06	2.19E+07	1.52E+06	...	13	,1	tab:olive
W75N-4	74.8	29.92	11.968	59.4	10.3	10.3	37840	75681	37840	1.4	0.4	0.4	3.41E+06	1.44E+07	1.36E+06	...	13.7	,1	tab:olive
W75N-5	24.6	9.84	3.936	44	7.3	7.3	27329	54658	27329	1.4	0.4	0.4	4.25E+06	1.53E+07	1.87E+06	...	11.9	,1	tab:olive
W75N-6	73.4	29.36	11.744	39.3	6.9	6.9	36264	72527	36264	1.4	0.4	0.4	2.42E+06	1.00E+07	9.77E+05	...	14.6	,1	tab:olive
