Src	L_bol	L_bol_upl	L_bol_lol	M_env	M_env_upl	M_env_lol	R_out	R_out_upl	R_out_lol	p_rho	p_rho_upl	p_rho_lol	n_1000AU	n_1000AU_upl	n_1000AU_lol	n_10K	T_dust	ms	clr
G9.62+0.10	350000	70000	70000	1660	3320	415	120000	...	...	2	0.25	0.25	1.70E+08	2.43E+08	6.28E+07	170000000	...	d30	tab:blue
G8.67-0.36	130000	26000	26000	1470	2940	367.5	120000	...	...	2	0.25	0.25	1.50E+08	2.16E+08	5.56E+07	150000000	...	d30	tab:blue
G10.60-0.40	920000	184000	184000	1960	3920	490	100000	...	...	2.5	0.25	0.25	1.20E+09	9.13E+08	5.59E+08	1200000000	...	d30	tab:blue
G12.42+0.50	19000	3800	3800	140	280	35	54000	...	...	2	0.25	0.25	3.20E+07	3.15E+07	1.44E+07	32000000	...	d30	tab:blue
G12.89+0.49	39000	7800	7800	350	700	87.5	75000	...	...	2	0.25	0.25	5.70E+07	6.70E+07	2.38E+07	57000000	...	d30	tab:blue
G13.87+0.28	130000	26000	26000	300	600	75	77000	...	...	1.75	0.25	0.25	2.00E+07	2.68E+07	8.00E+06	20000000	...	d30	tab:blue
#W33A	100000	20000	20000	1990	3980	497.5	150000	...	...	1.5	0.25	0.25	2.00E+07	3.69E+07	6.51E+06	20000000	...	d30	tab:blue
G14.33-0.64	100000	20000	20000	800	1600	200	98000	...	...	2	0.25	0.25	1.80E+07	2.14E+08	3.90E+07	18000000	...	d30	tab:blue
GL 2136	10000	2000	2000	90	180	22.5	52000	...	...	1.75	0.25	0.25	6.30E+07	4.62E+06	4.32E+06	63000000	...	d30	tab:blue
G19.61-0.23	180000	36000	36000	...			...	...	...	...	...	...	...	...	...	...	...	d30	tab:blue
G23.95+0.16	190000	38000	38000	120	240	30	59000	...	...	1.5	0.25	0.25	5.00E+06	6.02E+06	2.01E+06	5000000	...	d30	tab:blue
G24.49-0.04	49000	9800	9800	190	380	47.5	56000	...	...	2.25	0.25	0.25	8.50E+07	7.04E+07	4.08E+07	85000000	...	d30	tab:blue
W43S	1600000	320000	320000	890	1780	222.5	83000	...	...	2.5	0.25	0.25	6.00E+08	4.12E+08	2.92E+08	600000000	...	d30	tab:blue
G31.41+0.31	230000	46000	46000	3830	7660	957.5	150000	...	...	2.25	0.25	0.25	8.00E+08	1.10E+09	3.07E+08	800000000	...	d30	tab:blue
G40.50+2.54	28000	5600	5600	350	700	87.5	85000	...	...	1.5	0.25	0.25	8.00E+06	1.24E+07	3.09E+06	8000000	...	d30	tab:blue
G35.58-0.03	42000	8400	8400	...	...	...	...	...	...	...	...	...	...	...	...	...	...	d30	tab:blue
G45.07+0.13	1200000	240000	240000	...	...	...	...	...	...	...	...	...	...	...	...	...	...	d30	tab:blue
G48.61+0.02	1000000	200000	200000	...	...	...	...	...	...	...	...	...	...	...	...	...	...	d30	tab:blue
W51M	3800000	760000	760000	...	...	...	...	...	...	...	...	...	...	...	...	...	...	d30	tab:blue
Sh2-87	48000	9600	9600	...	...	...	...	...	...	...	...	...	...	...	...	...	...	d30	tab:blue
S88B	90000	18000	18000	50	100	12.5	46000	...	...	1.25	0.25	0.25	1.00E+06	1.89E+06	5.68E+05	1000000	...	d30	tab:blue
ON 1	150000	30000	30000	2390	4780	597.5	150000	...	...	1.75	0.25	0.25	7.00E+07	1.21E+08	2.34E+07	70000000	...	d30	tab:blue
ON 2S	370000	74000	74000	270	540	67.5	72000	...	...	1.75	0.25	0.25	2.00E+07	2.51E+07	7.96E+06	20000000	...	d30	tab:blue
Sh2-106	500000	100000	100000	...	...	...	...	...	...	...	...	...	...	...	...	...	...	d30	tab:blue
G97.53+3.19	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	d30	tab:blue
BFS11-B	7000	1400	1400	...	...	...	...	...	...	...	...	...	...	...	...	...	...	d30	tab:blue
